INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sources/cordic.cpp in debug mode
   Generating csim.exe
THETA	COS_OUT	COS_GOLD	COS_ERR
0	1.00000	1.00000	-0.00000
1	0.99985	0.99985	-0.00000
2	0.99939	0.99939	-0.00000
3	0.99863	0.99863	-0.00000
4	0.99756	0.99756	0.00000
5	0.99619	0.99619	-0.00000
6	0.99452	0.99452	0.00000
7	0.99255	0.99255	0.00000
8	0.99027	0.99027	-0.00000
9	0.98769	0.98769	-0.00000
10	0.98481	0.98481	-0.00000
11	0.98163	0.98163	-0.00000
12	0.97815	0.97815	-0.00000
13	0.97437	0.97437	-0.00000
14	0.97030	0.97030	-0.00000
15	0.96593	0.96593	-0.00000
16	0.96127	0.96126	-0.00001
17	0.95631	0.95630	-0.00001
18	0.95106	0.95106	-0.00001
19	0.94553	0.94552	-0.00002
20	0.93971	0.93969	-0.00002
21	0.93360	0.93358	-0.00002
22	0.92721	0.92718	-0.00002
23	0.92053	0.92050	-0.00002
24	0.91357	0.91355	-0.00002
25	0.90633	0.90631	-0.00002
26	0.89877	0.89879	0.00002
27	0.89098	0.89101	0.00003
28	0.88292	0.88295	0.00003
29	0.87460	0.87462	0.00002
30	0.86600	0.86603	0.00002
31	0.85714	0.85717	0.00002
32	0.84802	0.84805	0.00003
33	0.83865	0.83867	0.00002
34	0.82901	0.82904	0.00003
35	0.81912	0.81915	0.00003
36	0.80899	0.80902	0.00003
37	0.79861	0.79864	0.00002
38	0.78799	0.78801	0.00002
39	0.77712	0.77715	0.00002
40	0.76603	0.76604	0.00002
41	0.75469	0.75471	0.00002
42	0.74313	0.74314	0.00002
43	0.73133	0.73135	0.00002
44	0.71933	0.71934	0.00001
45	0.70712	0.70711	-0.00001
46	0.69467	0.69466	-0.00001
47	0.68202	0.68200	-0.00002
48	0.66915	0.66913	-0.00002
49	0.65608	0.65606	-0.00002
50	0.64281	0.64279	-0.00002
51	0.62935	0.62932	-0.00003
52	0.61569	0.61566	-0.00003
53	0.60184	0.60182	-0.00003
54	0.58783	0.58779	-0.00004
55	0.57362	0.57358	-0.00004
56	0.55923	0.55919	-0.00004
57	0.54468	0.54464	-0.00004
58	0.52996	0.52992	-0.00004
59	0.51508	0.51504	-0.00004
60	0.50004	0.50000	-0.00004
61	0.48485	0.48481	-0.00004
62	0.46952	0.46947	-0.00005
63	0.45404	0.45399	-0.00005
64	0.43842	0.43837	-0.00005
65	0.42257	0.42262	0.00005
66	0.40669	0.40674	0.00005
67	0.39068	0.39073	0.00005
68	0.37455	0.37461	0.00005
69	0.35833	0.35837	0.00004
70	0.34198	0.34202	0.00004
71	0.32552	0.32557	0.00004
72	0.30899	0.30902	0.00003
73	0.29234	0.29237	0.00003
74	0.27561	0.27564	0.00003
75	0.25880	0.25882	0.00001
76	0.24190	0.24192	0.00002
77	0.22493	0.22495	0.00002
78	0.20789	0.20791	0.00002
79	0.19080	0.19081	0.00001
80	0.17364	0.17365	0.00001
81	0.15643	0.15643	0.00001
82	0.13916	0.13917	0.00001
83	0.12187	0.12187	-0.00000
84	0.10453	0.10453	-0.00000
85	0.08716	0.08716	-0.00000
86	0.06976	0.06976	-0.00000
87	0.05234	0.05234	-0.00000
88	0.03490	0.03490	-0.00000
89	0.01745	0.01745	0.00000
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
