INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sources/cordic_tb.cpp in debug mode
   Compiling ../../../sources/cordic.cpp in debug mode
   Generating csim.exe
THETA	COS_OUT	COS_GOLD	COS_ERR
20	0.93970	0.93969	-0.00001
21	0.93359	0.93358	-0.00001
22	0.92720	0.92718	-0.00002
23	0.92053	0.92050	-0.00002
24	0.91357	0.91355	-0.00002
25	0.90633	0.90631	-0.00002
26	0.89877	0.89879	0.00003
27	0.89098	0.89101	0.00003
28	0.88292	0.88295	0.00003
29	0.87460	0.87462	0.00002
30	0.86600	0.86602	0.00002
31	0.85714	0.85717	0.00002
32	0.84802	0.84805	0.00003
33	0.83864	0.83867	0.00003
34	0.82901	0.82904	0.00002
35	0.81913	0.81915	0.00003
36	0.80899	0.80902	0.00003
37	0.79861	0.79864	0.00002
38	0.78799	0.78801	0.00002
39	0.77712	0.77715	0.00002
40	0.76603	0.76604	0.00002
41	0.75469	0.75471	0.00002
42	0.74313	0.74314	0.00002
43	0.73134	0.73135	0.00002
44	0.71933	0.71934	0.00001
45	0.70712	0.70711	-0.00001
46	0.69467	0.69466	-0.00001
47	0.68202	0.68200	-0.00002
48	0.66915	0.66913	-0.00002
49	0.65608	0.65606	-0.00002
50	0.64281	0.64279	-0.00002
51	0.62935	0.62932	-0.00003
52	0.61569	0.61566	-0.00003
53	0.60184	0.60182	-0.00003
54	0.58782	0.58779	-0.00004
55	0.57361	0.57358	-0.00004
56	0.55923	0.55919	-0.00004
57	0.54468	0.54464	-0.00004
58	0.52996	0.52992	-0.00004
59	0.51508	0.51504	-0.00004
60	0.50004	0.50000	-0.00004
61	0.48485	0.48481	-0.00004
62	0.46952	0.46947	-0.00005
63	0.45404	0.45399	-0.00005
64	0.43842	0.43837	-0.00005
65	0.42257	0.42262	0.00005
66	0.40668	0.40674	0.00005
67	0.39068	0.39073	0.00005
68	0.37456	0.37461	0.00005
69	0.35833	0.35837	0.00004
70	0.34198	0.34202	0.00004
71	0.32553	0.32557	0.00004
72	0.30899	0.30902	0.00003
73	0.29234	0.29237	0.00003
74	0.27561	0.27564	0.00003
75	0.25880	0.25882	0.00001
76	0.24191	0.24192	0.00002
77	0.22493	0.22495	0.00002
78	0.20789	0.20791	0.00002
79	0.19081	0.19081	0.00000
80	0.17364	0.17365	0.00001
81	0.15643	0.15643	0.00001
82	0.13916	0.13917	0.00001
83	0.12187	0.12187	-0.00000
84	0.10453	0.10453	-0.00000
85	0.08716	0.08716	-0.00000
86	0.06976	0.06976	-0.00000
87	0.05233	0.05234	0.00000
88	0.03490	0.03490	-0.00000
89	0.01745	0.01745	-0.00000
90	0.00002	0.00000	-0.00002
91	-0.01744	-0.01745	-0.00001
92	-0.03489	-0.03490	-0.00001
93	-0.05231	-0.05234	-0.00003
94	-0.06973	-0.06976	-0.00002
95	-0.08713	-0.08716	-0.00002
96	-0.10451	-0.10453	-0.00002
97	-0.12183	-0.12187	-0.00004
98	-0.13914	-0.13917	-0.00003
99	-0.15640	-0.15643	-0.00003
100	-0.17157	-0.17365	-0.00208
101	-0.17157	-0.19081	-0.01924
102	-0.17157	-0.20791	-0.03634
103	-0.17157	-0.22495	-0.05338
104	-0.17157	-0.24192	-0.07035
105	-0.17157	-0.25882	-0.08725
106	-0.17157	-0.27564	-0.10407
107	-0.17157	-0.29237	-0.12080
108	-0.17157	-0.30902	-0.13745
109	-0.17157	-0.32557	-0.15400
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
